"Model","MSE","RMSE","MAE","R2","Relative_RMSE"
"Elastic Net",15.9884194758034,3.99855217244984,2.96347969982219,0.529513541064132,0.614471338156948
"Lasso",16.4437620382216,4.05509087915691,2.93018044526355,0.51611431107025,0.623159836710831
"PCLAS",16.7197869312794,4.08898360613972,3.01054468935428,0.510445692449516,0.628368249257354
"PCR",17.3366784476396,4.16373371478527,3.17912282238954,0.489838725779998,0.639855356916792
"DFM",17.6915667721067,4.20613442154512,3.19935712818021,0.479395532733373,0.646371220133743
"PCLAR",17.75105635677,4.21320025120691,3.19856045023332,0.480250188668931,0.647457050609428
"Ridge",18.87202947703,4.34419491701627,3.24624550585854,0.44465840822987,0.667587453845354
"3PRF",38.0829993152401,6.17114246434484,4.2043273962057,-0.0902320078218708,0.948340800490257
"Random Walk",42.3450133074117,6.50730461154322,5.2409526585733,-0.24607409723939,1
